Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2006.0,10,359,41.49,29.02,3.77,8.46,82.74
1985.0,4,359,29.08,3.58,6.81,0.77,40.24
2008.0,6,359,15.85,12.88,3.79,3.31,35.82
2009.0,10,359,15.75,11.01,3.28,2.96,33.0
1996.0,7,359,11.27,8.89,10.22,1.0,31.37
1989.0,5,359,23.2,2.26,4.22,0.58,30.26
2006.0,4,359,11.38,9.23,6.5,2.9,30.01
2006.0,3,359,14.03,9.2,2.93,2.85,29.02
2009.0,4,359,14.59,7.06,4.7,2.26,28.62
1984.0,8,359,26.93,0.63,0.28,0.47,28.31
2005.0,9,359,9.07,11.0,1.93,2.75,24.76
2005.0,6,359,9.81,7.57,4.13,1.92,23.42
1999.0,7,359,9.0,6.18,7.2,0.71,23.1
2007.0,10,359,8.94,8.03,3.6,2.15,22.72
2009.0,10,359,9.09,8.59,2.53,1.79,22.0
2010.0,3,323,14.97,4.94,0.24,1.67,21.82
2013.0,0,494,7.01,9.27,0.97,4.14,21.4
2004.0,0,494,9.43,0.4,0.41,10.57,20.81
1990.0,4,359,12.78,3.75,3.54,0.55,20.61
2005.0,3,359,4.75,9.26,4.16,2.05,20.22
2006.0,7,359,6.42,4.52,6.04,1.37,18.36
1989.0,4,359,10.83,2.71,4.18,0.42,18.14
1988.0,4,359,9.54,3.44,3.84,0.46,17.28
2013.0,0,494,9.63,5.31,0.06,1.38,16.38
2002.0,0,494,8.41,5.49,0.47,1.78,16.15
2002.0,7,359,6.06,3.9,5.38,0.5,15.85
2010.0,7,359,5.57,3.28,5.65,0.82,15.32
2005.0,5,359,3.44,5.36,5.32,1.18,15.3
2001.0,6,456,6.85,5.09,1.87,1.16,14.98
2011.0,8,21,9.03,4.28,0.13,1.32,14.76
1998.0,7,359,5.89,5.04,3.12,0.59,14.64
2010.0,8,21,9.67,3.73,0.11,1.13,14.64
2013.0,7,359,5.17,4.05,4.34,0.79,14.35
2015.0,8,21,5.77,5.81,0.35,2.31,14.24
2012.0,8,21,4.99,5.88,0.65,2.52,14.03
2012.0,8,21,8.25,4.3,0.07,1.12,13.73
2009.0,8,21,8.52,3.63,0.08,1.29,13.51
2011.0,8,21,5.54,5.82,0.49,1.62,13.46
2001.0,0,494,6.99,4.51,0.3,1.3,13.1
2008.0,2,359,6.75,2.61,2.66,1.02,13.04
2010.0,8,21,5.98,4.44,0.48,1.83,12.73
2005.0,9,359,2.55,3.52,5.33,0.88,12.27
2011.0,6,359,4.74,3.91,2.67,0.89,12.21
2007.0,8,323,7.97,2.83,0.13,1.21,12.14
2014.0,0,494,3.8,5.81,0.36,2.02,11.98
2009.0,0,359,4.4,2.77,3.96,0.77,11.9
1996.0,4,359,6.91,2.85,1.91,0.23,11.89
2004.0,6,456,3.01,0.01,1.1,7.53,11.66
2007.0,4,359,6.16,3.4,1.2,0.76,11.52
2014.0,7,359,4.23,3.37,3.08,0.65,11.33
1992.0,1,359,6.16,2.04,2.69,0.29,11.18
2008.0,0,494,6.76,3.1,0.14,1.03,11.02
1997.0,6,456,4.02,3.87,2.54,0.52,10.95
2011.0,4,359,4.89,2.99,2.13,0.78,10.79
2010.0,6,456,2.96,4.88,0.81,2.12,10.77
2009.0,8,21,4.99,3.69,0.38,1.63,10.69
2008.0,0,494,4.76,3.76,0.44,1.62,10.57
1993.0,4,359,5.99,2.15,2.12,0.29,10.55
2004.0,7,359,4.34,2.65,3.15,0.35,10.49
2004.0,4,359,5.08,3.11,1.25,0.98,10.42
2011.0,3,525,6.05,3.15,0.0,1.07,10.26
2013.0,8,21,6.72,2.63,0.04,0.82,10.21
2010.0,8,323,7.03,1.98,0.08,0.78,9.88
1996.0,6,359,5.55,1.94,2.23,0.15,9.87
2012.0,4,359,3.66,3.07,2.47,0.63,9.82
2012.0,8,323,6.63,2.36,0.04,0.73,9.76
1997.0,7,456,3.01,2.47,3.28,0.96,9.72
2013.0,8,21,4.09,3.73,0.38,1.38,9.59
2010.0,3,525,5.84,2.89,0.01,0.78,9.52
1999.0,6,456,3.88,3.42,1.69,0.5,9.49
2007.0,8,21,5.91,2.38,0.13,0.9,9.32
1994.0,4,359,4.36,1.71,3.0,0.23,9.3
